timeline,date,end_date,title,tier
Glenn,4/28/2020,,Dr. Bella annual exam,1
Glenn,4/26/2020,,Blood,1
Glenn,4/25/2020,,Lauren's Polo to Fran re: both good to split,1
Glenn,4/22/2020,,Fran forwarded two of my Polos to Lauren,1
Glenn,4/22/2020,,Rollerblades delivered,1
Glenn,4/21/2020,,Blocked Deb on FB and phone,1
Glenn,4/20/2020,,Parade for Robichaux's,1
Glenn,4/15/2020,,Lauren and Jimmy agreed to separate,1
Glenn,4/12/2020,,Easter in quarantine,1
Glenn,4/11/2020,,One last call with Lauren,1
Glenn,4/11/2020,,Made Deb mad re: Bumble,1
Glenn,4/11/2020,,Replaced kitchen faucet with Scott,1
Glenn,4/11/2020,,"Tennis with Patty with all the deuces, she almost won!",1
Glenn,4/4/2020,,Birthday dinner for Matt with kids and K,1
Glenn,4/3/2020,,"Tennis with Patty, Kate, and Deb",1
Glenn,4/2/2020,,Marcie's mom died,1
Glenn,4/1/2020,,Jimmy saw Lauren's text,1
Glenn,3/28/2020,,"Cooked for Patrick and Amanda, visit with Lauren",1
Glenn,3/26/2020,,Home A/C repair freon $289,1
Glenn,3/24/2020,,Stay at home order in Houston,1
Glenn,3/23/2020,5/15/2020,Stay at home order in La,1
Glenn,3/20/2020,,Visit with Lauren at the house,1
Glenn,3/16/2020,,"Announcement of bars, theaters, restaurants closed",1
Glenn,3/13/2020,,Announcement of La. schools closing for a month,1
Glenn,3/10/2020,,Filed tax returns,1
Glenn,3/7/2020,,Ultramarathon in MS,1
Glenn,3/4/2020,,Rebecca and Lauren's first coffee together,1
Glenn,3/3/2020,,Fran and Lauren's first walk together,1
Glenn,3/1/2020,,First week of new VC group,1
Glenn,3/1/2020,,Trail run with Sydney at Frenchtown Park,1
Glenn,2/28/2020,,Dinner with Mom at La Lagniappe,1
Glenn,2/27/2020,,Last talk with Lauren,1
Glenn,2/26/2020,,Lunch with Shawn at Jason's,1
Glenn,2/23/2020,,Kate won her tennis tournament!,1
Glenn,2/22/2020,,"Last tennis with Lauren, she finally admitted her feelings",1
Glenn,2/21/2020,,First lunch with Marcie,1
Glenn,2/21/2020,,Southdowns parade,1
Glenn,2/16/2020,,Mid City Gras parade,1
Glenn,2/15/2020,,Tennis with Lauren,1
Glenn,2/15/2020,,Sydney rolled her ankle running Comite Park trail,1
Glenn,2/10/2020,,Second severe crushing on Lauren in evening,1
Glenn,2/9/2020,,20-miler run 4 walk 1,1
Glenn,2/8/2020,,Mardi Gras Mambo 15K,1
Glenn,2/7/2020,,Tennis with Lauren,1
Glenn,2/5/2020,,Dr. Tallis,1
Glenn,2/5/2020,,Trump acquitted,1
Glenn,2/3/2020,,Severely crushing on Lauren in evening,1
Glenn,2/1/2020,,First trail run at Comite Park,1
Glenn,1/29/2020,,First time Lauren won a set against me in tennis,1
Glenn,1/28/2020,,Lunch with Shawn at Salad Station,1
Glenn,1/25/2020,,20 miler with Sydney,1
Glenn,1/25/2020,,Tennis with Patty and Kate,1
Glenn,1/21/2020,,Uncle Bill died,1
Glenn,1/21/2020,,First lab-confirmed case of COVID-19 in US,1
Glenn,1/19/2020,,Louisiana Half Marathon,1
Glenn,1/19/2020,,Tennis with Lauren,1
Glenn,1/19/2020,,Released first running video,1
Glenn,1/17/2020,,Lunch with Patty,1
Glenn,1/17/2020,,Spirit and Life Night,1
Glenn,1/16/2020,,Lunch with Deb,1
Glenn,1/16/2020,,Tennis with Kate,1
Glenn,1/13/2020,,LSU Football National Champions!,1
Glenn,1/13/2020,,First visit to Dr. Bella's office,1
Glenn,1/8/2020,1/12/2020,Cabo trip,1
Glenn,1/5/2020,,Kate's first set won against me,1
Glenn,1/4/2020,,Wilderness 10 Miler,1
Glenn,1/4/2020,,Helped Patrick and Amanda Roberts move,1
Glenn,1/4/2020,,Tennis with Lauren,1
Glenn,12/21/2019,,David Nutcracker in Denver,1
Glenn,12/18/2019,,Trump impeached,1
Glenn,12/15/2019,,Sydney MS Gulf Coast marathon,1
Glenn,12/14/2019,12/15/2019,Dad's visit to BR,1
Glenn,12/13/2019,,Second time Alexis slept over after laying it down,1
Glenn,12/13/2019,,R Lucerne alternator,1
Glenn,12/10/2019,,GBS 1 hr network connection for control devices part 2,1
Glenn,12/8/2019,,Tiger 5K,1
Glenn,12/8/2019,,Babysat Jimmy and Lauren's girls,1
Glenn,12/7/2019,,BR Beach Half,1
Glenn,12/6/2019,,Houston trip - Michele Christmas play,1
Glenn,12/4/2019,,Tennis with Lauren,1
Glenn,12/3/2019,,Lunch with Shawn at Roman's,1
Glenn,12/1/2019,,Tennis with Patty,1
Glenn,11/30/2019,,20 mile run with Chris Bland and Corie Hebert,1
Glenn,11/28/2019,,Turkey Trot 5K (24:01),1
Glenn,11/26/2019,,Told Chris no more Alexis sleeping over,1
Glenn,11/25/2019,,First Popeye's chicken sandwich,1
Glenn,11/25/2019,,GBS 1 hr network connection for control devices,1
Glenn,11/21/2019,,Singles night with Patty,1
Glenn,11/20/2019,,Foto Sisters concert with Kathy,1
Glenn,11/15/2019,11/17/2019,Denver trip to visit David,1
Glenn,11/13/2019,,Dinner with Mom and Patty at casino,1
Glenn,11/6/2019,,Dinner with Patrick Roberts,1
Glenn,11/2/2019,,18-mile training run with Sydney and Brent,1
Glenn,10/27/2019,,David left for Denver,1
Glenn,10/27/2019,,Northshore Half Marathon,1
Glenn,10/20/2019,,CYT Tarzan - David's last show,1
Glenn,10/20/2019,,Donated blood,1
Glenn,10/19/2019,,Oktoberfest 5K,1
Glenn,10/19/2019,,Dinner with Patty,1
Glenn,10/18/2019,,Second tennis with Lauren Butts,1
Glenn,10/17/2019,,Lunch with Deb,1
Glenn,10/14/2019,,Flu shot at Albertsons,1
Glenn,10/12/2019,,Cane Field Classic,1
Glenn,10/12/2019,,First marathon distance run in under 2 hours,1
Glenn,10/10/2019,,Lunch with Jeremy,1
Glenn,10/7/2019,,Dinner meeting with Kathy and Chris re: Alexis,1
Glenn,10/5/2019,,First dinner party at E Cypress Point Ct,1
Glenn,10/4/2019,,R Lucerne water pump replaced,1
Glenn,10/2/2019,,Justin and Sydney owl,1
Glenn,10/1/2019,,Bought first climbing shoes and harness,1
Glenn,10/1/2019,,David hit head on bar while back-flipping off the bar,1
Glenn,9/28/2019,,St. Jude 5k,1
Glenn,9/27/2019,,First tennis with Lauren Butts,1
Glenn,9/25/2019,,Dr. Moraes - appt and stress test,1
Glenn,9/19/2019,,TS Imelda hit SE Texas,1
Glenn,9/18/2019,,Lunch with David,1
Glenn,9/9/2019,,"Simple Simon 4 tires on Corolla, alignment, oil change",1
Glenn,9/7/2019,,Belay training,1
Glenn,9/7/2019,,Swapped light switches in master bathroom,1
Glenn,9/6/2019,,Signed up for Uptown Climbing membership,1
Glenn,9/5/2019,,First Thursday Varsity run,1
Glenn,8/28/2019,,Gifted Lucerne to R,1
Glenn,8/25/2019,,Blood,1
Glenn,8/24/2019,,Zoo Run 5K 27:00,1
Glenn,8/20/2019,,Blood work,1
Glenn,8/19/2019,,Tooth Whitening,1
Glenn,8/1/2019,,Colonoscopy,1
Glenn,7/27/2019,,Skydiving in Houston,1
Glenn,7/23/2019,,Dr. Wharton,1
Glenn,7/20/2019,,Move furniture into Cypress Point house,1
Glenn,7/13/2019,,Hurricane Barry,1
Glenn,7/12/2019,,Closed on Cypress Point house,1
Glenn,7/9/2019,,Paid last HOA dues for Timothy house,1
Glenn,7/8/2019,,Closing on Timothy Dr house,1
Glenn,7/5/2019,7/7/2019,Texas trip,1
Glenn,7/4/2019,,Freedom Mile 7:50,1
Glenn,7/3/2019,,Sent GBS invoice for April-June,1
Glenn,6/30/2019,,Moved out of condo,1
Glenn,6/28/2019,,Buyers backed out of buying condo,1
Glenn,6/27/2019,,Patty condo inspection,1
